"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"F001","Mercats i centres comercials","Mercats municipals","427333.947","4581960.956","427242.044","4581760.025","2.129813","41.384078","Mercat de Les Corts","04","19","Les Corts","les Corts","Trav Corts, 215","667 57 03 36"
"F001","Mercats i centres comercials","Mercats municipals","428507.836","4583348.729","428415.922","4583147.785","2.143687","41.396682","Mercat de Galvany","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Santaló, 65","934132317"
"F001","Mercats i centres comercials","Mercats municipals","431044.918","4587076.998","430952.982","4586876.019","2.173608","41.430483","Mercat de La Mercè","08","46","Nou Barris","el Turó de la Peira","Pg Fabra i Puig, 270*272","934132340"
"F001","Mercats i centres comercials","Mercats municipals","431495.192","4588831.652","431403.253","4588630.656","2.178797","41.446325","Mercat de Montserrat","08","50","Nou Barris","les Roquetes","Via Favència, 241","934132341"
"F001","Mercats i centres comercials","Mercats municipals","432290","4581508","432198.051","4581307.072","2.189132","41.380431","Mercat de La Barceloneta","01","03","Ciutat Vella","la Barceloneta","Pl Poeta Boscà, 1*2","607 906 658"
"F001","Mercats i centres comercials","Mercats municipals","426592.349","4583718.057","426500.453","4583517.11","2.120731","41.399835","Mercat de Sarrià","05","23","Sarrià-Sant Gervasi","Sarrià","Pg Reina Elisenda Montcada, 8","934132326"
"F001","Mercats i centres comercials","Mercats municipals","429999.571","4581433.952","429907.643","4581233.025","2.161751","41.379568","Mercat Dominical de Sant Antoni","02","10","Eixample","Sant Antoni","C Comte d'Urgell, 1","934132300"
"F001","Mercats i centres comercials","Mercats municipals","430856.541","4581805.239","430764.605","4581604.309","2.171956","41.382986","Mercat de les Flors *Les Rambles","01","02","Ciutat Vella","el Barri Gòtic","C la Rambla, 116",""
"F001","Mercats i centres comercials","Mercats municipals","429551.218","4586342.765","429459.296","4586141.793","2.155818","41.42374","Mercat del Carmel","07","37","Horta-Guinardó","el Carmel","C Llobregós, 149","934132335"
"F001","Mercats i centres comercials","Mercats municipals","430124.637","4581455.977","430032.708","4581255.05","2.163244","41.379777","Mercat de Sant Antoni","02","10","Eixample","Sant Antoni","C Comte d'Urgell, 1","934132300"
"F001","Mercats i centres comercials","Mercats municipals","430220.216","4584800.792","430128.287","4584599.834","2.164001","41.409911","Mercat de l'Estrella","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","C Pi i Margall, 73*75","934132315"
"F001","Mercats i centres comercials","Mercats municipals","432022.681","4583801.279","431930.735","4583600.33","2.185677","41.401063","Mercat Encants Vells Fira de Bellcaire","02","05","Eixample","el Fort Pienc","C Castillejos, 158","934132328"
"F001","Mercats i centres comercials","Mercats municipals","427653.84","4580921.1","427561.934","4580720.179","2.133763","41.374741","Mercat de Sants","03","18","Sants-Montjuïc","Sants","C Sant Jordi, 6","932694472"
"F001","Mercats i centres comercials","Mercats municipals","428498.861","4580959.437","428406.947","4580758.515","2.143862","41.375162","Mercat d'Hostafrancs","03","15","Sants-Montjuïc","Hostafrancs","C Creu Coberta, 93","934132307"
"F001","Mercats i centres comercials","Mercats municipals","430773.386","4587986.65","430681.453","4587785.662","2.170254","41.438652","Mercat de La Guineueta","08","48","Nou Barris","la Guineueta","Pg Valldaura, 186*190","934132338"
"F001","Mercats i centres comercials","Mercats municipals","432504.376","4587449.01","432412.427","4587248.027","2.191032","41.433957","Mercat de Sant Andreu","09","60","Sant Andreu","Sant Andreu","C Sant Adrià, 21","934132342"
"F001","Mercats i centres comercials","Mercats municipals","430144.256","4581625.005","430052.327","4581424.076","2.163459","41.381301","Mercat Encants de Sant Antoni","02","10","Eixample","Sant Antoni","C Comte d'Urgell, 1","934132300"
"F001","Mercats i centres comercials","Mercats municipals","431755.652","4583216.45","431663.708","4583015.506","2.182549","41.395773","Mercat del Fort Pienc","02","05","Eixample","el Fort Pienc","Pl Fort Pienc, 3","934132316"
"F001","Mercats i centres comercials","Mercats municipals","432945.761","4585834.931","432853.807","4585633.963","2.196493","41.419457","Mercat de Provençals","10","72","Sant Martí","Sant Martí de Provençals","C Menorca, 19","662002663"
"F001","Mercats i centres comercials","Mercats municipals","430228.565","4584054.081","430136.636","4583853.13","2.164187","41.403186","Mercat de l'Abaceria Central","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","Pg Sant Joan, 181","934132313"
"F001","Mercats i centres comercials","Mercats municipals","434503.556","4585795.626","434411.588","4585594.657","2.215137","41.419232","Mercat del Besòs","10","70","Sant Martí","el Besòs i el Maresme","C Jaume Huguet, 38","934132305"
"F001","Mercats i centres comercials","Mercats municipals","431429.794","4590541.291","431337.856","4590340.28","2.17782","41.461717","Mercat de Ciutat Meridiana","08","55","Nou Barris","Ciutat Meridiana","C Costabona, 4*6","934132336"
"F001","Mercats i centres comercials","Mercats municipals","429221.863","4584724.035","429129.943","4584523.078","2.152066","41.409132","Mercat de Lesseps","06","30","Gràcia","la Salut","C Verdi, 200","934132319"
"F001","Mercats i centres comercials","Mercats municipals","428088.615","4584350.049","427996.706","4584149.096","2.138554","41.405663","Mercat de Sant Gervasi","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Pl Joaquim Folguera, 6","934132325"
"F001","Mercats i centres comercials","Mercats municipals","431544.513","4585814.132","431452.572","4585613.164","2.179729","41.419151","Mercat del Guinardó","07","35","Horta-Guinardó","el Guinardó","C Teodor Llorente, 10","934132332"
"F001","Mercats i centres comercials","Mercats municipals","431996.385","4586128.995","431904.44","4585928.024","2.185101","41.422026","Mercat de Felip II","09","61","Sant Andreu","la Sagrera","C Felip II, 118","934132337"
"F001","Mercats i centres comercials","Mercats municipals","430290.859","4588361.651","430198.93","4588160.66","2.164435","41.441988","Mercat de Canyelles","08","49","Nou Barris","Canyelles","C Antonio Machado, 10","934132324"
"F001","Mercats i centres comercials","Mercats municipals","428435.386","4586389.449","428343.474","4586188.477","2.14246","41.424062","Mercat de Vall d'Hebron -Teixonera","07","38","Horta-Guinardó","la Teixonera","Pg Vall d'Hebron, 130*134","934132344"
"F001","Mercats i centres comercials","Mercats municipals","432112.798","4583827.891","432020.851","4583626.941","2.186752","41.40131","Mercat Encants Vells Fira de Bellcaire","02","05","Eixample","el Fort Pienc","Av Meridiana, 69","934132328"
"F001","Mercats i centres comercials","Mercats municipals","431305.374","4584324.89","431213.435","4584123.936","2.177037","41.405718","Mercat de la Sagrada Família","02","06","Eixample","la Sagrada Família","C Padilla, 255","934132324"
"F001","Mercats i centres comercials","Mercats municipals","433683.471","4585739.187","433591.51","4585538.219","2.205331","41.418656","Mercat de Sant Martí","10","73","Sant Martí","la Verneda i la Pau","C Puigcerdà, 206*212","934132297"
"F001","Mercats i centres comercials","Mercats municipals","429352.936","4583679.674","429261.015","4583478.727","2.153756","41.399737","Mercat de la Llibertat","06","31","Gràcia","la Vila de Gràcia","Pl Llibertat, 27","933687946"
"F001","Mercats i centres comercials","Mercats municipals","427475.024","4583721.235","427383.12","4583520.288","2.131289","41.399944","Mercat de Les Tres Torres","05","24","Sarrià-Sant Gervasi","les Tres Torres","C Vergós, 2","934132327"
"F001","Mercats i centres comercials","Mercats municipals","431380.955","4582178.683","431289.015","4581977.749","2.178185","41.386394","Mercat de Santa Caterina","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Av Francesc Cambó, 16","934132298"
"F001","Mercats i centres comercials","Mercats municipals","433772.118","4587665.514","433680.157","4587464.528","2.20618","41.436013","Mercat del Bon Pastor","09","59","Sant Andreu","el Bon Pastor","C Sant Adrià, 154*162","934132333"
"F001","Mercats i centres comercials","Mercats municipals","432278.191","4584526.502","432186.243","4584325.546","2.188652","41.407616","Mercat del Clot","10","65","Sant Martí","el Clot","Pl Mercat, 26","934132306"
"F001","Mercats i centres comercials","Mercats municipals","430620.63","4583207.001","430528.697","4583006.058","2.168974","41.395591","Mercat de La Concepció","02","07","Eixample","la Dreta de l'Eixample","C Aragó, 311*LB","934132314"
"F001","Mercats i centres comercials","Mercats municipals","429875.032","4586992.991","429783.107","4586792.013","2.159617","41.429625","Mercat d'Horta","07","43","Horta-Guinardó","Horta","C Tajo, 75","934204858"
"F001","Mercats i centres comercials","Mercats municipals","428092.79","4579322.201","428000.879","4579121.294","2.139201","41.36038","Mercat de La Marina","03","13","Sants-Montjuïc","la Marina de Port","Pg Zona Franca, 178*180","934132308"
"F001","Mercats i centres comercials","Mercats municipals","430882.514","4581700.894","430790.578","4581499.964","2.172279","41.382048","Mercat de Sant Josep - La Boqueria","01","01","Ciutat Vella","el Raval","C Rambla, 89*LB","934132303"
"F001","Mercats i centres comercials","Mercats municipals","431952.468","4589090.132","431860.524","4588889.134","2.184241","41.448692","Mercat de La Trinitat","08","53","Nou Barris","la Trinitat Nova","C Pedrosa, 21","934132343"
"F001","Mercats i centres comercials","Mercats municipals","433674.403","4583781.3","433582.442","4583580.35","2.205437","41.401021","Mercat del Poblenou","10","68","Sant Martí","el Poblenou","Pl Unió, 25","934132309"
"F001","Mercats i centres comercials","Mercats municipals","429395.548","4582360.142","429303.626","4582159.207","2.15442","41.387857","Mercat del Ninot","02","08","Eixample","l'Antiga Esquerra de l'Eixample","C Mallorca, 133*157","934132322"
